点位编号,侧滑角α,迎角β,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,大气压力,大气温度,采样次数,Kα,Kβ,K0,Ks,马赫数,速度,标准差,U(Kα),U(Kβ),U(K0),U(Ks),边界标记
225,0.000,0.000,189.812,0.675,-11.978,159.655,138.520,-42.852,-79.494,-93.995,137.974,99520.596,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.214,0.4799,,,,,
226,0.000,0.000,189.602,0.475,3.950,165.992,124.921,-56.321,-78.751,-97.950,136.387,99522.145,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.214,0.3110,,,,,
227,0.000,0.000,188.530,0.883,21.332,169.175,108.065,-68.502,-79.502,-100.947,134.368,99521.803,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.143,1.5627,,,,,
228,0.000,0.000,189.883,0.537,39.485,172.597,91.599,-77.556,-80.324,-101.952,132.848,99522.783,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.225,0.2770,,,,,
229,0.000,0.000,191.352,0.533,60.809,175.053,73.030,-84.281,-81.744,-101.253,130.787,99519.773,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.296,1.3156,,,,,
230,0.000,0.000,191.139,0.720,79.087,176.582,55.382,-87.440,-81.453,-98.074,128.594,99520.375,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.276,0.3844,,,,,
231,0.000,0.000,189.768,0.687,94.981,175.142,37.573,-89.703,-81.701,-93.455,125.307,99515.403,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.213,0.7432,,,,,
232,0.000,0.000,188.417,0.648,109.519,172.613,17.687,-89.892,-83.300,-86.264,121.234,99516.949,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.150,0.6616,,,,,
233,0.000,0.000,188.638,0.681,124.024,170.298,1.989,-87.816,-84.317,-76.601,119.200,99519.052,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.159,0.6249,,,,,
234,0.000,0.000,189.004,0.594,136.769,166.144,-12.841,-86.150,-85.292,-66.094,117.058,99518.062,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.181,0.4750,,,,,
235,0.000,0.000,187.889,0.630,145.523,158.950,-27.729,-85.085,-86.456,-54.417,115.300,99518.447,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0518,18.125,0.3827,,,,,
236,0.000,0.000,190.725,0.507,157.245,153.985,-37.204,-79.999,-84.218,-37.726,116.056,99519.080,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.268,0.6202,,,,,P1-P2
237,0.000,0.000,190.325,0.625,163.724,144.918,-47.638,-76.821,-83.369,-22.143,116.148,99520.006,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.243,1.0554,,,,,
238,0.000,0.000,188.496,0.620,167.582,132.337,-57.083,-75.896,-84.477,-6.806,114.674,99517.664,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.155,0.6383,,,,,
239,0.000,0.000,188.381,0.668,171.922,120.212,-63.460,-73.815,-81.681,12.631,116.457,99521.336,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.147,0.8295,,,,,
240,0.000,0.000,188.660,0.747,172.904,104.636,-69.860,-74.893,-81.419,29.452,115.508,99521.742,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.157,0.5019,,,,,
241,0.000,0.000,190.118,0.691,175.772,89.891,-73.115,-74.026,-80.000,48.554,116.618,99520.733,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.230,0.5052,,,,,
242,0.000,0.000,190.892,0.678,184.026,63.505,-102.499,-91.633,-109.932,54.643,93.290,99520.211,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.268,0.8164,,,,,
243,0.000,0.000,190.090,0.602,182.380,38.574,-112.304,-92.832,-113.278,73.182,87.962,99519.872,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.233,1.3525,,,,,
244,0.000,0.000,192.203,0.581,184.127,18.756,-111.980,-90.196,-108.412,94.722,90.423,99521.017,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0524,18.336,1.6700,,,,,
245,0.000,0.000,190.891,0.381,181.122,-4.610,-110.721,-90.110,-101.996,112.934,89.410,99519.827,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.283,0.4629,,,,,
246,0.000,0.000,191.236,0.538,179.010,-24.979,-107.640,-90.385,-94.070,129.708,89.125,99518.421,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.292,0.5563,,,,,
247,0.000,0.000,189.706,0.589,172.691,-46.335,-106.218,-94.230,-84.985,143.115,86.960,99516.328,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.216,1.1339,,,,,
248,0.000,0.000,190.559,0.655,165.790,-65.491,-104.010,-98.575,-73.725,155.768,86.083,99516.384,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.254,0.4626,,,,,
249,0.000,0.000,191.826,0.538,157.361,-83.039,-102.444,-104.247,-63.046,165.315,83.833,99516.883,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0524,18.321,0.6051,,,,,
250,0.000,0.000,192.498,0.710,148.112,-96.823,-99.075,-108.532,-49.646,173.067,83.088,99516.914,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0525,18.344,0.5136,,,,,
251,0.000,0.000,190.684,0.605,133.985,-109.947,-97.587,-113.751,-32.951,177.911,81.510,99517.764,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.263,0.9788,,,,,
252,0.000,0.000,189.150,0.626,116.389,-122.496,-98.975,-119.967,-15.660,179.962,79.179,99515.541,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.188,0.9231,,,,,
253,0.000,0.000,191.169,0.557,100.347,-127.872,-97.283,-121.298,5.896,183.523,82.180,99514.032,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.289,0.8694,,,,,
254,0.000,0.000,190.336,0.601,80.501,-132.007,-97.508,-122.821,27.271,183.613,81.718,99514.008,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.247,0.5614,,,,,
255,0.000,0.000,191.500,0.653,61.409,-130.147,-95.014,-120.181,51.098,184.579,84.716,99514.570,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.300,0.4801,,,,,
256,0.000,0.000,188.579,0.661,38.062,-127.678,-92.977,-116.320,73.394,182.307,84.385,99517.144,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.159,0.3185,,,,,
257,0.000,0.000,188.936,0.671,15.670,-121.748,-88.277,-107.521,98.308,181.020,84.735,99518.595,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.176,0.3261,,,,,
258,0.000,0.000,190.474,0.645,-4.526,-112.308,-82.815,-93.120,121.735,178.459,87.302,99519.397,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.251,1.6377,,,,,
259,0.000,0.000,189.824,0.815,-26.106,-105.455,-82.704,-79.350,140.363,171.372,86.307,99516.994,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.212,0.2727,,,,,
260,0.000,0.000,190.610,0.685,-45.122,-98.484,-84.742,-63.378,155.316,161.354,85.573,99514.197,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.257,0.3166,,,,,
261,0.000,0.000,189.710,0.585,-61.052,-89.569,-87.539,-42.490,167.508,147.012,84.471,99512.197,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.219,1.1396,,,,,
262,0.000,0.000,189.555,0.614,-75.886,-84.398,-93.823,-22.421,175.569,130.689,82.572,99517.077,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.209,0.9970,,,,,
263,0.000,0.000,189.107,0.707,-88.052,-81.474,-98.321,-1.010,180.565,110.014,80.156,99516.861,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.183,0.4015,,,,,
264,0.000,0.000,190.318,0.766,-96.823,-80.314,-101.873,21.438,183.211,88.564,78.618,99515.803,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.239,0.7219,,,,,
265,0.000,0.000,191.245,0.695,-101.773,-79.349,-103.807,44.584,185.466,67.378,77.840,99515.012,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.287,0.4727,,,,,
266,0.000,0.000,190.306,0.807,-106.127,-80.830,-106.050,65.247,185.423,44.606,75.751,99513.242,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.237,0.7112,,,,,
267,0.000,0.000,189.814,0.781,-108.552,-82.348,-107.246,84.862,184.503,22.443,74.300,99513.320,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.215,0.4661,,,,,
268,0.000,0.000,191.051,0.727,-107.517,-80.946,-103.249,104.358,184.687,3.044,73.993,99514.398,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.277,0.3972,,,,,
269,0.000,0.000,190.183,0.617,-105.349,-79.998,-96.176,121.445,182.551,-14.756,75.006,99509.597,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.241,1.0174,,,,,
270,0.000,0.000,186.926,0.856,-105.539,-82.712,-90.855,134.146,176.079,-34.984,72.610,99511.425,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0517,18.072,0.6170,,,,,
271,0.000,0.000,189.715,0.713,-99.173,-80.716,-75.909,149.983,172.835,-46.900,77.413,99512.328,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.214,1.3662,,,,,
272,0.000,0.000,188.845,0.639,-93.366,-81.268,-61.606,160.591,165.838,-58.271,80.506,99514.742,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.175,0.6631,,,,,
273,0.000,0.000,190.077,0.769,-86.321,-80.829,-43.673,170.093,156.754,-67.724,83.756,99513.469,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.228,0.6554,,,,,
274,0.000,0.000,194.322,0.621,-76.559,-77.710,-23.231,178.100,147.988,-70.034,91.354,99516.773,31.4,10,0.0000,0.0000,0.0000,0.0000,0.0527,18.438,2.2307,,,,,
275,0.000,0.000,189.254,0.696,-71.212,-78.475,-5.908,177.975,131.113,-75.846,91.174,99511.922,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.193,0.3568,,,,,
276,0.000,0.000,189.138,0.729,-68.155,-80.351,12.674,181.067,116.530,-81.657,95.122,99514.242,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.185,0.6940,,,,,
277,0.000,0.000,188.504,0.652,-71.684,-87.743,28.157,181.296,97.633,-92.635,95.615,99515.706,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.159,1.0698,,,,,
278,0.000,0.000,189.638,0.585,-73.643,-89.545,47.245,182.498,79.625,-98.123,99.189,99515.531,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.217,0.3752,,,,,
279,0.000,0.000,189.388,0.705,-75.841,-89.883,66.931,182.904,58.907,-101.706,99.946,99515.323,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.199,0.4099,,,,,
280,0.000,0.000,188.331,0.756,-76.508,-85.237,85.089,180.635,37.983,-100.595,101.388,99516.073,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.145,1.0025,,,,,
281,0.000,0.000,190.829,0.672,-72.098,-72.906,105.946,182.188,22.400,-94.137,105.624,99517.317,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.270,0.8211,,,,,
282,0.000,0.000,190.809,0.565,-70.197,-58.903,122.653,179.064,5.782,-87.061,108.956,99518.297,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.274,0.7968,,,,,
283,0.000,0.000,190.921,0.681,-74.909,-50.110,137.110,174.511,-13.289,-88.779,108.981,99515.945,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.274,0.7540,,,,,
284,0.000,0.000,189.753,0.711,-84.678,-43.101,147.546,167.052,-33.989,-92.871,108.402,99512.039,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.217,0.6140,,,,,
285,0.000,0.000,189.823,0.697,-91.733,-32.009,157.052,158.689,-50.917,-92.119,109.759,99515.178,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.221,0.4876,,,,,P3-P4
286,0.000,0.000,190.296,0.720,-97.550,-19.660,166.266,148.640,-66.760,-93.186,109.754,99514.428,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.243,1.8614,,,,,
287,0.000,0.000,187.932,0.812,-105.397,-6.587,169.764,132.520,-83.295,-95.099,108.958,99515.578,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0518,18.124,0.5007,,,,,
288,0.000,0.000,189.096,0.750,-108.733,11.154,175.596,117.277,-94.514,-93.818,110.950,99516.414,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.183,1.1255,,,,,
289,0.000,0.000,189.091,0.731,-111.138,29.907,177.967,98.283,-104.347,-93.054,112.833,99516.445,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.184,1.0702,,,,,
290,0.000,0.000,188.939,0.697,-113.750,48.402,178.935,77.156,-113.139,-95.162,113.982,99517.686,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.178,0.8238,,,,,
