侧滑角α,迎角β,马赫数Ma,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,α角度系数Kα,β角度系数Kβ,总压系数K0,静压系数Ks,大气压力,大气温度
5.000,15.000,0.239,4021.083,-29.000,2401.400,399.017,-1338.117,-1475.283,-383.783,1615.867,3653.100,0.363,1.110,-0.091,-0.057,98882.000,28.000
10.000,15.000,0.239,4021.783,-32.050,2303.467,-285.967,-1667.217,-1544.667,38.400,2223.967,3504.117,0.732,1.129,-0.128,-0.052,98881.000,28.000
15.000,15.000,0.239,4023.767,-31.983,2134.767,-849.517,-1825.900,-1701.533,426.183,2749.833,3243.983,1.094,1.184,-0.192,-0.046,98880.667,28.000
20.000,15.000,0.240,4030.050,-18.567,1894.217,-1479.900,-2252.567,-1866.450,796.583,3216.050,2845.750,1.600,1.278,-0.293,-0.017,98896.000,28.000
25.000,15.000,0.240,4034.933,9.617,1595.783,-2046.633,-2595.950,-2181.750,1080.750,3583.300,2337.200,2.210,1.454,-0.422,0.026,98919.000,28.000
30.000,15.000,0.240,4035.183,6.733,1208.400,-2557.867,-2779.967,-2600.667,1254.533,3833.767,1708.717,3.037,1.752,-0.578,0.070,98921.000,28.000
-30.000,20.000,0.239,4021.283,-30.267,1539.333,3915.233,698.533,-2780.583,-3187.633,-2849.733,1304.083,-3.518,2.325,-0.671,0.102,98885.000,28.000
-25.000,20.000,0.239,4022.000,-31.117,1965.167,3713.017,516.000,-2533.717,-2978.750,-2283.383,1910.483,-2.517,1.973,-0.521,0.058,98879.000,28.000
-20.000,20.000,0.239,4022.467,-28.850,2322.350,3400.683,268.683,-2261.867,-2640.767,-1625.867,2435.517,-1.815,1.758,-0.392,0.015,98880.000,28.000
-15.000,20.000,0.239,4020.533,-30.450,2595.533,2981.567,-44.650,-2035.500,-2273.467,-942.883,2843.533,-1.270,1.623,-0.291,-0.019,98882.500,28.000
-10.000,20.000,0.239,4018.683,-31.233,2782.600,2463.917,-433.333,-1881.900,-1884.100,-249.667,3125.433,-0.803,1.544,-0.221,-0.041,98882.000,28.000
-5.000,20.000,0.239,4008.133,-29.050,2891.433,1876.867,-849.917,-1829.700,-1552.567,421.067,3286.833,-0.398,1.507,-0.179,-0.047,98885.000,28.000
0.000,20.000,0.239,4015.517,-34.100,2933.233,1225.417,-1280.733,-1851.433,-1222.900,1083.867,3339.050,-0.015,1.502,-0.167,-0.045,98883.000,28.000
5.000,20.000,0.239,4016.567,-28.050,2908.000,544.767,-1661.850,-1868.600,-855.800,1721.150,3294.617,0.362,1.511,-0.178,-0.039,98883.000,28.000
10.000,20.000,0.239,4016.217,-31.517,2817.183,-100.483,-1833.333,-1922.950,-512.800,2304.367,3142.083,0.713,1.550,-0.216,-0.039,98886.000,28.000
15.000,20.000,0.239,4009.550,-31.367,2653.217,-728.533,-2121.783,-2097.283,-189.550,2821.000,2866.000,1.126,1.650,-0.283,-0.022,98889.000,28.000
20.000,20.000,0.239,4020.333,-19.617,2418.533,-1406.800,-2615.717,-2376.233,104.733,3271.867,2459.933,1.668,1.818,-0.386,0.020,98891.000,28.000
25.000,20.000,0.239,4028.933,8.267,2121.917,-1994.350,-2841.067,-2663.583,342.117,3623.467,1969.933,2.304,2.071,-0.512,0.061,98922.000,28.000
30.000,20.000,0.240,4036.600,9.417,1739.233,-2528.050,-2935.567,-3022.367,488.533,3861.700,1366.950,3.208,2.511,-0.663,0.102,98923.000,28.000
-30.000,25.000,0.240,4032.867,-31.400,2033.300,3901.517,-58.867,-3187.083,-3250.717,-2832.733,859.217,-4.022,3.467,-0.781,0.131,98886.000,28.000
-25.000,25.000,0.240,4042.083,-34.500,2454.750,3714.067,-229.050,-3041.050,-3266.933,-2304.050,1439.917,-2.773,2.811,-0.638,0.101,98884.000,28.000
-20.000,25.000,0.240,4047.233,-32.500,2811.717,3414.717,-439.200,-2814.883,-3020.700,-1638.283,1948.367,-1.977,2.465,-0.514,0.061,98892.000,28.000
-15.000,25.000,0.240,4055.300,-32.367,3081.267,3017.750,-690.683,-2616.750,-2715.900,-950.033,2356.317,-1.383,2.248,-0.416,0.028,98883.167,28.000
-10.000,25.000,0.241,4064.983,-33.733,3268.567,2516.033,-1021.167,-2447.233,-2315.900,-222.967,2660.850,-0.863,2.108,-0.343,0.001,98883.000,28.000
-5.000,25.000,0.241,4071.933,-34.283,3374.400,1934.750,-1404.950,-2437.583,-2017.250,466.483,2830.367,-0.422,2.045,-0.302,-0.005,98882.000,28.000
0.000,25.000,0.241,4080.683,-32.167,3418.467,1302.933,-1755.083,-2397.333,-1719.550,1136.450,2895.817,-0.026,2.018,-0.288,-0.007,98885.000,28.000
5.000,25.000,0.241,4082.833,-32.100,3397.767,634.733,-2038.650,-2360.783,-1421.933,1769.667,2851.767,0.354,2.029,-0.299,-0.007,98880.000,28.000
10.000,25.000,0.241,4086.483,-31.000,3314.033,-26.667,-2213.967,-2442.350,-1157.283,2348.150,2696.767,0.727,2.104,-0.338,-0.000,98883.000,28.000
15.000,25.000,0.241,4094.417,-26.267,3166.700,-705.017,-2556.800,-2693.233,-914.783,2867.783,2418.467,1.177,2.262,-0.407,0.027,98888.000,28.000
20.000,25.000,0.242,4104.217,-18.433,2933.833,-1381.500,-2932.317,-2879.783,-643.583,3323.217,2026.967,1.763,2.495,-0.504,0.059,98899.000,28.000
25.000,25.000,0.242,4121.917,9.000,2638.450,-1986.900,-3096.600,-3095.950,-436.400,3679.467,1547.067,2.491,2.883,-0.626,0.095,98920.000,28.000
30.000,25.000,0.242,4124.617,10.083,2257.300,-2509.467,-3084.183,-3328.233,-304.233,3921.017,959.433,3.624,3.628,-0.769,0.126,98924.000,28.000
