点位编号,侧滑角α,迎角β,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,大气压力,大气温度,采样次数,Kα,Kβ,K0,Ks,马赫数,速度,标准差,U(Kα),U(Kβ),U(K0),U(Ks),边界标记
97,-5.000,5.000,222.240,-0.513,110.676,60.385,33.654,53.291,94.533,128.024,217.117,99236.773,28.6,10,0.5415,0.4257,-0.0230,-0.3619,0.0566,19.706,0.7683,,,,,
98,0.000,5.000,223.103,-0.523,114.203,89.268,55.905,58.227,76.014,105.205,220.264,99235.750,28.6,10,0.1518,0.4242,-0.0127,-0.3741,0.0567,19.745,1.5485,,,,,
99,5.000,5.000,220.302,-0.476,110.371,111.565,72.550,53.588,50.434,79.526,217.873,99235.375,28.6,10,-0.2262,0.4382,-0.0110,-0.3630,0.0564,19.619,0.8777,,,,,
100,10.000,5.000,220.675,-0.685,102.072,133.898,93.135,47.508,26.170,54.698,216.640,99236.273,28.6,10,-0.6011,0.4236,-0.0182,-0.3475,0.0564,19.645,0.9036,,,,,
101,15.000,5.000,219.809,-0.292,85.990,150.895,111.148,33.095,-0.061,20.812,210.473,99234.398,28.6,10,-0.9709,0.3866,-0.0424,-0.3056,0.0563,19.589,1.4955,,,,,
102,20.000,5.000,221.229,-0.564,65.781,167.336,126.151,9.413,-27.266,-20.390,200.228,99234.892,28.6,10,-1.3424,0.3653,-0.0947,-0.2438,0.0565,19.665,0.5681,,,,,
103,25.000,5.000,222.182,-0.560,38.556,182.877,137.857,-23.457,-57.221,-67.613,184.654,99235.500,28.6,10,-1.7209,0.3538,-0.1685,-0.1604,0.0566,19.707,1.8093,,,,,P7-P2
104,30.000,5.000,222.240,-0.539,1.036,192.712,144.131,-65.045,-94.250,-117.916,160.592,99236.660,28.6,10,-2.1064,0.3479,-0.2767,-0.0478,0.0566,19.708,0.7882,,,,,
105,-30.000,10.000,220.762,-0.568,47.686,-109.355,-59.885,-94.573,106.881,205.739,128.352,99233.938,28.6,10,2.4780,0.9914,-0.4175,-0.0752,0.0564,19.645,0.8088,,,,,
106,-25.000,10.000,219.537,-0.484,74.402,-80.711,-65.311,-61.551,105.950,197.793,152.233,99236.859,28.7,10,2.0975,0.9379,-0.3059,-0.1314,0.0563,19.587,1.1004,,,,,
107,-20.000,10.000,220.224,-0.582,99.506,-39.880,-44.760,-26.220,100.862,186.969,175.936,99238.453,28.7,10,1.6560,0.8790,-0.2006,-0.2113,0.0564,19.622,0.7328,,,,,
108,-15.000,10.000,220.612,-0.481,115.943,-2.159,-22.362,1.403,91.997,171.274,192.270,99236.711,28.7,10,1.2500,0.8239,-0.1282,-0.2706,0.0564,19.635,1.4710,,,,,
109,-10.000,10.000,219.659,-0.561,126.737,28.410,-5.285,15.431,78.505,153.848,201.541,99234.617,28.7,10,0.8930,0.8173,-0.0823,-0.3035,0.0563,19.597,0.6558,,,,,
110,-5.000,10.000,220.650,-0.467,134.240,62.412,15.689,25.270,67.538,133.747,209.928,99238.809,28.7,10,0.5200,0.8063,-0.0485,-0.3329,0.0564,19.636,0.5173,,,,,
111,0.000,10.000,220.665,-0.542,135.522,93.597,34.988,27.237,52.030,106.884,212.567,99236.966,28.7,10,0.1273,0.7999,-0.0366,-0.3417,0.0564,19.641,0.9932,,,,,
112,5.000,10.000,220.360,-0.587,133.015,121.143,52.801,26.515,32.478,78.719,213.269,99235.300,28.7,10,-0.2603,0.7847,-0.0321,-0.3381,0.0564,19.629,0.2692,,,,,
113,10.000,10.000,220.934,-0.407,126.586,146.152,70.209,20.068,9.133,47.325,210.595,99236.698,28.7,10,-0.6562,0.7752,-0.0467,-0.3177,0.0564,19.647,0.5035,,,,,
114,15.000,10.000,220.459,-0.572,111.805,163.822,84.315,4.812,-16.938,10.461,203.373,99238.295,28.7,10,-1.0233,0.7446,-0.0773,-0.2727,0.0564,19.633,0.7493,,,,,
115,20.000,10.000,219.385,-0.516,91.686,177.700,95.960,-20.808,-43.199,-33.091,191.181,99237.319,28.7,10,-1.3794,0.7210,-0.1283,-0.2057,0.0562,19.584,0.9113,,,,,
116,25.000,10.000,221.230,-0.473,64.329,190.684,104.940,-56.442,-71.189,-83.457,174.089,99236.488,28.7,10,-1.7415,0.7034,-0.2126,-0.1140,0.0565,19.664,1.4843,,,,,
117,30.000,10.000,220.405,-0.458,29.035,200.535,109.606,-98.906,-102.940,-134.543,149.676,99237.930,28.7,10,-2.1189,0.7042,-0.3202,-0.0042,0.0564,19.627,0.4535,,,,,
118,-30.000,15.000,222.035,-0.358,79.583,-126.971,-77.176,-119.527,64.181,210.776,117.067,99237.727,28.7,10,2.4715,1.4743,-0.4720,-0.0247,0.0566,19.695,0.5404,,,,,
119,-25.000,15.000,221.050,-0.671,103.676,-95.420,-79.623,-85.468,65.948,203.538,142.386,99238.828,28.7,10,2.0763,1.3485,-0.3548,-0.0877,0.0565,19.665,0.7301,,,,,
120,-20.000,15.000,219.887,-0.391,125.845,-53.543,-62.099,-52.174,61.520,192.992,163.880,99237.977,28.8,10,1.6637,1.2872,-0.2543,-0.1626,0.0563,19.601,0.7422,,,,,
121,-15.000,15.000,221.773,-0.461,143.503,-10.050,-39.084,-23.562,55.814,179.697,182.416,99236.678,28.8,10,1.2510,1.2359,-0.1771,-0.2318,0.0565,19.689,0.6802,,,,,P7-P6
122,-10.000,15.000,223.969,-0.518,154.417,30.742,-17.242,-3.418,50.386,162.169,195.813,99234.746,28.8,10,0.8643,1.1918,-0.1254,-0.2822,0.0568,19.788,0.6551,,,,,
123,-5.000,15.000,219.292,-0.407,155.973,63.132,-2.853,-0.718,37.590,134.836,198.367,99235.765,28.8,10,0.4843,1.1882,-0.0952,-0.2962,0.0562,19.577,0.5739,,,,,
124,0.000,15.000,220.981,-0.690,159.923,98.274,13.330,-0.452,27.805,107.965,203.609,99237.242,28.8,10,0.1027,1.1926,-0.0784,-0.3090,0.0565,19.664,1.3306,,,,,
125,5.000,15.000,221.210,-0.421,157.816,128.546,27.956,-1.375,15.717,75.369,203.236,99236.570,28.8,10,-0.2779,1.1740,-0.0811,-0.3057,0.0565,19.663,1.1605,,,,,
126,10.000,15.000,218.743,-0.426,148.309,151.279,39.369,-8.898,-5.679,37.217,197.311,99237.922,28.8,10,-0.6703,1.1413,-0.0978,-0.2769,0.0561,19.553,0.5387,,,,,
127,15.000,15.000,220.605,-0.462,137.352,172.107,52.271,-22.583,-29.667,-1.286,191.754,99238.561,28.8,10,-1.0501,1.1114,-0.1305,-0.2344,0.0564,19.638,1.0499,,,,,
128,20.000,15.000,221.674,-0.287,120.439,188.043,59.870,-50.721,-58.030,-48.801,178.598,99240.048,28.8,10,-1.4276,1.1146,-0.1941,-0.1596,0.0565,19.678,1.0786,,,,,
129,25.000,15.000,219.202,-0.320,94.384,197.668,63.852,-86.285,-85.802,-98.882,159.422,99240.246,28.8,10,-1.7734,1.1062,-0.2723,-0.0659,0.0562,19.570,0.7182,,,,,
130,30.000,15.000,219.438,-0.423,59.354,205.421,66.540,-128.380,-116.111,-150.962,135.053,99240.322,28.8,10,-2.1354,1.0967,-0.3838,0.0467,0.0562,19.585,0.8419,,,,,
131,-30.000,20.000,222.156,-0.472,109.073,-141.954,-92.473,-138.888,15.862,212.531,100.168,99240.188,28.8,10,2.5174,2.0196,-0.5479,0.0247,0.0566,19.708,0.3100,,,,,
132,-25.000,20.000,219.729,-0.420,130.332,-110.179,-95.001,-107.962,18.369,205.383,124.340,99241.117,28.8,10,2.1073,1.8392,-0.4333,-0.0329,0.0563,19.598,0.8094,,,,,
133,-20.000,20.000,219.407,-0.318,149.868,-66.379,-79.251,-76.589,15.128,194.183,145.682,99240.773,28.8,10,1.6680,1.7496,-0.3355,-0.1053,0.0562,19.580,0.8904,,,,,
134,-15.000,20.000,221.002,-0.274,164.390,-20.748,-59.772,-48.723,12.248,178.909,163.635,99240.023,28.9,10,1.2457,1.6728,-0.2593,-0.1717,0.0564,19.649,0.7501,,,,,
135,-10.000,20.000,221.444,-0.466,173.608,22.853,-41.100,-30.889,7.862,158.938,176.705,99241.250,28.9,10,0.8336,1.6230,-0.2016,-0.2209,0.0565,19.677,0.7853,,,,,P7-P1
136,-5.000,20.000,219.682,-0.367,176.955,61.060,-26.265,-26.768,2.338,133.379,183.533,99238.363,28.9,10,0.4479,1.6036,-0.1643,-0.2446,0.0563,19.595,1.3886,,,,,
137,0.000,20.000,220.604,-0.308,178.496,97.048,-14.462,-27.914,-4.996,102.541,186.212,99235.958,28.9,10,0.0659,1.6067,-0.1557,-0.2509,0.0564,19.634,0.3582,,,,,
138,5.000,20.000,219.816,-0.426,176.315,127.326,-6.317,-32.104,-14.532,66.931,184.875,99236.988,28.9,10,-0.3002,1.5966,-0.1586,-0.2423,0.0563,19.604,0.8120,,,,,
139,10.000,20.000,220.342,-0.322,170.784,154.247,3.207,-38.080,-28.352,27.513,180.109,99238.797,28.9,10,-0.6929,1.5787,-0.1823,-0.2200,0.0563,19.623,0.9506,,,,,
140,15.000,20.000,219.524,-0.381,159.912,174.415,10.573,-53.138,-51.334,-16.025,171.401,99238.331,28.9,10,-1.0873,1.5553,-0.2188,-0.1718,0.0562,19.589,0.7170,,,,,P7-P2
141,20.000,20.000,216.843,-0.399,141.139,187.745,14.146,-80.030,-79.398,-65.108,155.931,99238.577,28.9,10,-1.4686,1.5426,-0.2804,-0.0927,0.0559,19.471,0.5276,,,,,
142,25.000,20.000,222.209,-0.399,124.277,203.715,21.830,-108.298,-97.828,-110.217,141.880,99239.062,28.9,10,-1.8366,1.5521,-0.3609,-0.0269,0.0566,19.710,0.5641,,,,,
143,30.000,20.000,219.905,-0.453,93.216,209.336,18.056,-149.745,-125.019,-162.804,115.560,99237.438,28.9,10,-2.2025,1.5782,-0.4735,0.0864,0.0563,19.610,0.8219,,,,,
144,-30.000,25.000,219.872,-0.428,132.973,-156.557,-111.053,-157.844,-35.379,210.078,75.890,99236.178,28.9,10,2.6734,2.7275,-0.6536,0.0872,0.0563,19.608,0.8306,,,,,
145,-25.000,25.000,219.150,-0.472,153.194,-124.676,-113.681,-130.399,-35.272,202.623,99.794,99235.246,28.9,10,2.1723,2.4548,-0.5435,0.0344,0.0562,19.578,1.2200,,,,,
146,-20.000,25.000,218.517,-0.429,170.163,-79.042,-101.071,-99.944,-34.977,190.393,122.231,99237.913,28.9,10,1.6897,2.2900,-0.4398,-0.0366,0.0561,19.548,1.2050,,,,,
147,-15.000,25.000,219.236,-0.397,182.896,-32.620,-86.308,-74.602,-36.188,174.108,140.094,99237.434,28.9,10,1.2474,2.1842,-0.3603,-0.0984,0.0562,19.579,0.8567,,,,,
148,-10.000,25.000,218.947,-0.053,189.155,11.166,-73.443,-60.362,-39.320,150.939,151.642,99237.759,29.0,10,0.8233,2.1153,-0.3073,-0.1358,0.0561,19.551,0.6550,,,,,
149,-5.000,25.000,219.692,-0.418,193.352,54.399,-60.617,-57.323,-42.341,123.968,160.741,99236.891,29.0,10,0.4041,2.0788,-0.2678,-0.1620,0.0563,19.601,0.9294,,,,,
150,0.000,25.000,220.396,-0.330,193.176,89.752,-53.230,-59.287,-47.735,92.309,163.340,99237.430,29.0,10,0.0365,2.0599,-0.2585,-0.1638,0.0563,19.628,0.7223,,,,,
